,ArUcoTag#26,ArUcoTag#13,ArUcoTag#14,ArUcoTag#47,ArUcoTag#40,ArUcoTag#57,ArUcoTag#24,ArUcoTag#56,ArUcoTag#59,ArUcoTag#18,ArUcoTag#58,ArUcoTag#2,ArUcoTag#48,ArUcoTag#54,ArUcoTag#19,ArUcoTag#20,ArUcoTag#60,ArUcoTag#7,ArUcoTag#44,ArUcoTag#28,ArUcoTag#36,ArUcoTag#42,ArUcoTag#46,ArUcoTag#45,ArUcoTag#6,ArUcoTag#16,ArUcoTag#55,ArUcoTag#27,ArUcoTag#17,ArUcoTag#49,ArUcoTag#50,ArUcoTag#43,ArUcoTag#21,ArUcoTag#3,ArUcoTag#41,ArUcoTag#32,ArUcoTag#31,ArUcoTag#35,ArUcoTag#34,ArUcoTag#11,ArUcoTag#29,ArUcoTag#23,ArUcoTag#33,ArUcoTag#5,ArUcoTag#22,ArUcoTag#25,ArUcoTag#8,ArUcoTag#39,ArUcoTag#10,ArUcoTag#12,ArUcoTag#15,ArUcoTag#53
ArUcoTag#26,0.0,6389.0,3694.0,4013.0,3905.0,4575.0,4126.0,6014.0,6882.0,5153.0,6075.0,6073.0,4807.0,5946.0,6582.0,7393.0,13268.0,16450.0,12086.0,12777.0,12892.0,13896.0,11545.0,13045.0,8578.0,9555.0,9894.0,7946.0,8286.0,6957.0,6722.0,5496.0,6415.0,8178.0,6930.0,7580.0,6841.0,6678.0,7339.0,11028.0,8504.0,9074.0,6432.0,10804.0,10811.0,14053.0,17391.0,29303.0,11766.0,21008.0,18634.0,22214.0
ArUcoTag#13,6389.0,0.0,2647.0,2763.0,4869.0,2690.0,4266.0,4623.0,4502.0,3412.0,3234.0,3743.0,4142.0,4044.0,4584.0,4382.0,5840.0,5359.0,3887.0,4463.0,4586.0,4246.0,4756.0,6300.0,8412.0,4255.0,7907.0,4812.0,5370.0,6309.0,4085.0,4842.0,4185.0,3834.0,4766.0,4683.0,5844.0,4686.0,5864.0,4334.0,5397.0,6578.0,4434.0,4424.0,7578.0,4599.0,4329.0,23559.0,5587.0,4952.0,4893.0,7014.0
ArUcoTag#14,3694.0,2647.0,0.0,2169.0,2135.0,2506.0,1935.0,2185.0,3009.0,2970.0,2730.0,2225.0,2361.0,3184.0,2262.0,2619.0,3012.0,3032.0,3595.0,3329.0,2648.0,2726.0,2990.0,3043.0,3181.0,3066.0,2575.0,2790.0,3786.0,3267.0,2789.0,2919.0,3238.0,3881.0,2873.0,2059.0,2368.0,2709.0,3408.0,3298.0,2478.0,4318.0,2918.0,2758.0,3059.0,2508.0,2776.0,3869.0,2643.0,4016.0,5103.0,3664.0
ArUcoTag#47,4013.0,2763.0,2169.0,0.0,2431.0,1880.0,1654.0,1585.0,1928.0,1992.0,1940.0,1771.0,1629.0,2488.0,2219.0,2970.0,3216.0,2420.0,2697.0,1629.0,2014.0,2310.0,2874.0,2741.0,2599.0,1969.0,3173.0,2303.0,1913.0,2156.0,2500.0,2243.0,2797.0,3690.0,1959.0,1837.0,2524.0,2401.0,2928.0,2720.0,3443.0,2639.0,1937.0,2070.0,3133.0,4372.0,3697.0,4125.0,3649.0,3307.0,5678.0,3220.0
ArUcoTag#40,3905.0,4869.0,2135.0,2431.0,0.0,3454.0,3277.0,3634.0,3281.0,3735.0,3384.0,2881.0,2779.0,3038.0,2990.0,2910.0,3254.0,3380.0,4533.0,3421.0,3222.0,3402.0,3604.0,3693.0,3607.0,4365.0,3243.0,3414.0,4115.0,3769.0,4341.0,2897.0,2391.0,3800.0,3169.0,4758.0,4183.0,4176.0,4100.0,2770.0,3417.0,3743.0,2607.0,3710.0,3148.0,3822.0,2667.0,2670.0,2993.0,4348.0,4299.0,3858.0
ArUcoTag#57,4575.0,2690.0,2506.0,1880.0,3454.0,0.0,3981.0,3082.0,2481.0,2963.0,3672.0,4177.0,3818.0,3848.0,3885.0,3108.0,3710.0,3654.0,4174.0,4568.0,5371.0,3547.0,3938.0,4707.0,4289.0,3305.0,3194.0,4435.0,4086.0,4314.0,3763.0,3500.0,3335.0,3132.0,3854.0,3800.0,2997.0,3638.0,4513.0,3345.0,3034.0,3378.0,4098.0,4144.0,3895.0,3578.0,3560.0,4167.0,4369.0,3844.0,4403.0,3979.0
ArUcoTag#24,4126.0,4266.0,1935.0,1654.0,3277.0,3981.0,0.0,4289.0,5175.0,3570.0,4367.0,4322.0,5796.0,4876.0,2817.0,3077.0,4158.0,4063.0,3820.0,5308.0,3833.0,4072.0,4122.0,5292.0,5582.0,4461.0,5015.0,3833.0,4622.0,5447.0,3274.0,6962.0,4104.0,3930.0,5047.0,5424.0,7569.0,3721.0,4310.0,3143.0,4903.0,5680.0,3464.0,3798.0,6996.0,4528.0,5943.0,4263.0,4283.0,4099.0,6500.0,4697.0
ArUcoTag#56,6014.0,4623.0,2185.0,1585.0,3634.0,3082.0,4289.0,0.0,5576.0,3258.0,4460.0,3603.0,5080.0,3965.0,3009.0,3549.0,5126.0,4921.0,3646.0,4339.0,6056.0,4012.0,3245.0,5324.0,5983.0,4377.0,4874.0,4252.0,5843.0,5842.0,3809.0,5298.0,4179.0,4912.0,4745.0,4491.0,5962.0,4023.0,5027.0,4063.0,5973.0,4732.0,3750.0,3938.0,5912.0,3968.0,4193.0,4299.0,4306.0,4208.0,5895.0,5680.0
ArUcoTag#59,6882.0,4502.0,3009.0,1928.0,3281.0,2481.0,5175.0,5576.0,0.0,3399.0,3657.0,4422.0,4018.0,5271.0,4590.0,4040.0,5337.0,6267.0,5647.0,4655.0,4390.0,4483.0,4417.0,4586.0,5035.0,4647.0,6328.0,4951.0,4494.0,5194.0,4645.0,4767.0,4292.0,3806.0,5229.0,5686.0,5896.0,4146.0,5675.0,4633.0,4519.0,5444.0,4119.0,3890.0,6543.0,4176.0,4737.0,5040.0,5419.0,4637.0,6621.0,5826.0
ArUcoTag#18,5153.0,3412.0,2970.0,1992.0,3735.0,2963.0,3570.0,3258.0,3399.0,0.0,2911.0,3616.0,4047.0,4094.0,3913.0,3734.0,4143.0,3705.0,5234.0,4270.0,5043.0,3746.0,5202.0,5209.0,5111.0,4458.0,6513.0,7830.0,4225.0,3955.0,5090.0,3958.0,4961.0,3667.0,3469.0,5653.0,4360.0,4936.0,4703.0,3671.0,4085.0,5325.0,3759.0,4202.0,5544.0,4108.0,6382.0,4429.0,5143.0,4102.0,4478.0,6543.0
ArUcoTag#58,6075.0,3234.0,2730.0,1940.0,3384.0,3672.0,4367.0,4460.0,3657.0,2911.0,0.0,3679.0,3101.0,5030.0,3689.0,3766.0,4654.0,3379.0,4863.0,4714.0,4147.0,5960.0,6781.0,6461.0,5583.0,4849.0,5872.0,5898.0,4415.0,4654.0,3733.0,5317.0,4968.0,5153.0,3603.0,6357.0,4317.0,3612.0,5411.0,3426.0,4055.0,4721.0,3966.0,6834.0,5566.0,4049.0,4628.0,4516.0,4436.0,5780.0,5655.0,4849.0
ArUcoTag#2,6073.0,3743.0,2225.0,1771.0,2881.0,4177.0,4322.0,3603.0,4422.0,3616.0,3679.0,0.0,3447.0,3182.0,4127.0,3635.0,3826.0,5385.0,7782.0,3988.0,3562.0,4754.0,4084.0,4982.0,3775.0,7276.0,4426.0,4121.0,3271.0,3659.0,3962.0,5150.0,3904.0,4631.0,4680.0,3655.0,4596.0,3799.0,4155.0,3842.0,4747.0,3971.0,4901.0,4831.0,5316.0,4147.0,4160.0,4214.0,3379.0,6220.0,5995.0,5171.0
ArUcoTag#48,4807.0,4142.0,2361.0,1629.0,2779.0,3818.0,5796.0,5080.0,4018.0,4047.0,3101.0,3447.0,0.0,3358.0,3611.0,3387.0,4349.0,3007.0,4169.0,3399.0,3530.0,6185.0,4262.0,3911.0,4719.0,5656.0,4208.0,3747.0,4639.0,4434.0,3948.0,6278.0,3463.0,3647.0,4889.0,3544.0,3625.0,4315.0,5265.0,3532.0,4522.0,4515.0,4115.0,4682.0,5048.0,3986.0,4268.0,4556.0,4215.0,4471.0,5711.0,4869.0
ArUcoTag#54,5946.0,4044.0,3184.0,2488.0,3038.0,3848.0,4876.0,3965.0,5271.0,4094.0,5030.0,3182.0,3358.0,0.0,3900.0,4524.0,4808.0,4317.0,5131.0,4230.0,4203.0,3997.0,4384.0,5657.0,6034.0,4049.0,6719.0,5292.0,5038.0,4780.0,4322.0,4902.0,4903.0,4350.0,5489.0,5716.0,4964.0,4875.0,4675.0,4967.0,6248.0,6489.0,4331.0,4696.0,4968.0,3942.0,4657.0,6403.0,5350.0,4109.0,7523.0,6560.0
ArUcoTag#19,6582.0,4584.0,2262.0,2219.0,2990.0,3885.0,2817.0,3009.0,4590.0,3913.0,3689.0,4127.0,3611.0,3900.0,0.0,3810.0,4598.0,3965.0,4799.0,3863.0,3750.0,4024.0,4135.0,5282.0,5537.0,5629.0,3897.0,4089.0,4043.0,5363.0,5145.0,5099.0,4989.0,4470.0,4417.0,4865.0,4351.0,6042.0,5679.0,3688.0,4637.0,4406.0,4956.0,4444.0,6340.0,7269.0,5912.0,4859.0,4944.0,5146.0,5838.0,6579.0
ArUcoTag#20,7393.0,4382.0,2619.0,2970.0,2910.0,3108.0,3077.0,3549.0,4040.0,3734.0,3766.0,3635.0,3387.0,4524.0,3810.0,0.0,5141.0,3952.0,6502.0,3708.0,3680.0,5061.0,4687.0,5561.0,5139.0,4235.0,4279.0,4553.0,4555.0,3752.0,3973.0,4901.0,4418.0,5325.0,3228.0,4824.0,4136.0,4786.0,5034.0,3730.0,4165.0,4768.0,3969.0,4179.0,5700.0,5016.0,5008.0,5147.0,5750.0,4350.0,5797.0,5775.0
ArUcoTag#60,13268.0,5840.0,3012.0,3216.0,3254.0,3710.0,4158.0,5126.0,5337.0,4143.0,4654.0,3826.0,4349.0,4808.0,4598.0,5141.0,0.0,8515.0,5047.0,6890.0,7844.0,7650.0,7318.0,6716.0,7111.0,5870.0,8126.0,7815.0,6651.0,6473.0,4579.0,5728.0,6851.0,5261.0,9468.0,5516.0,5412.0,5124.0,7046.0,8955.0,8013.0,10223.0,9768.0,9747.0,7896.0,6267.0,9008.0,8436.0,24940.0,6476.0,12480.0,7959.0
ArUcoTag#7,16450.0,5359.0,3032.0,2420.0,3380.0,3654.0,4063.0,4921.0,6267.0,3705.0,3379.0,5385.0,3007.0,4317.0,3965.0,3952.0,8515.0,0.0,6751.0,5625.0,7137.0,5854.0,6581.0,7409.0,6799.0,8262.0,6872.0,5435.0,6151.0,5986.0,6142.0,4535.0,5750.0,6148.0,7077.0,9459.0,5110.0,7050.0,7331.0,8158.0,6436.0,12106.0,14353.0,20184.0,9480.0,6486.0,7725.0,9876.0,11651.0,8879.0,10154.0,9522.0
ArUcoTag#44,12086.0,3887.0,3595.0,2697.0,4533.0,4174.0,3820.0,3646.0,5647.0,5234.0,4863.0,7782.0,4169.0,5131.0,4799.0,6502.0,5047.0,6751.0,0.0,4527.0,4328.0,5428.0,6835.0,6919.0,6536.0,5233.0,6138.0,6398.0,4154.0,5135.0,4790.0,5445.0,5605.0,6682.0,4284.0,5049.0,6363.0,6602.0,5128.0,4957.0,6390.0,5994.0,4687.0,6776.0,6201.0,11626.0,12786.0,4783.0,5287.0,22271.0,6732.0,8772.0
ArUcoTag#28,12777.0,4463.0,3329.0,1629.0,3421.0,4568.0,5308.0,4339.0,4655.0,4270.0,4714.0,3988.0,3399.0,4230.0,3863.0,3708.0,6890.0,5625.0,4527.0,0.0,4180.0,5151.0,3545.0,6184.0,5751.0,5302.0,6127.0,4707.0,8710.0,5430.0,6099.0,4665.0,5622.0,5796.0,6422.0,5652.0,6347.0,4651.0,6919.0,5356.0,6091.0,6361.0,5111.0,4149.0,6977.0,5333.0,4464.0,7029.0,5744.0,5052.0,6002.0,6184.0
ArUcoTag#36,12892.0,4586.0,2648.0,2014.0,3222.0,5371.0,3833.0,6056.0,4390.0,5043.0,4147.0,3562.0,3530.0,4203.0,3750.0,3680.0,7844.0,7137.0,4328.0,4180.0,0.0,6139.0,6203.0,5827.0,5795.0,5125.0,5665.0,5096.0,6517.0,4865.0,4679.0,4852.0,4744.0,5627.0,5290.0,4064.0,4385.0,4159.0,5587.0,5225.0,6512.0,6339.0,4984.0,6819.0,6975.0,6341.0,6974.0,5074.0,6916.0,7397.0,9048.0,8343.0
ArUcoTag#42,13896.0,4246.0,2726.0,2310.0,3402.0,3547.0,4072.0,4012.0,4483.0,3746.0,5960.0,4754.0,6185.0,3997.0,4024.0,5061.0,7650.0,5854.0,5428.0,5151.0,6139.0,0.0,6452.0,5616.0,5348.0,5764.0,3664.0,5197.0,5588.0,6678.0,4568.0,4362.0,5209.0,5444.0,5805.0,5523.0,4071.0,5167.0,6651.0,5887.0,5376.0,7313.0,6943.0,6205.0,5244.0,6505.0,10056.0,7104.0,7015.0,6425.0,7188.0,10252.0
ArUcoTag#46,11545.0,4756.0,2990.0,2874.0,3604.0,3938.0,4122.0,3245.0,4417.0,5202.0,6781.0,4084.0,4262.0,4384.0,4135.0,4687.0,7318.0,6581.0,6835.0,3545.0,6203.0,6452.0,0.0,5209.0,5710.0,8003.0,5986.0,5760.0,5031.0,5474.0,5648.0,5844.0,6216.0,5022.0,5034.0,4821.0,4906.0,6174.0,6180.0,7117.0,5484.0,6053.0,5391.0,6428.0,6333.0,7848.0,9126.0,6823.0,7623.0,7244.0,8734.0,8307.0
ArUcoTag#45,13045.0,6300.0,3043.0,2741.0,3693.0,4707.0,5292.0,5324.0,4586.0,5209.0,6461.0,4982.0,3911.0,5657.0,5282.0,5561.0,6716.0,7409.0,6919.0,6184.0,5827.0,5616.0,5209.0,0.0,6478.0,6658.0,6891.0,7984.0,6276.0,7487.0,5819.0,5698.0,5836.0,6263.0,5534.0,7066.0,6687.0,5055.0,7918.0,6295.0,7175.0,9313.0,6504.0,5481.0,8397.0,6684.0,6318.0,8312.0,6676.0,9215.0,11347.0,10041.0
ArUcoTag#6,8578.0,8412.0,3181.0,2599.0,3607.0,4289.0,5582.0,5983.0,5035.0,5111.0,5583.0,3775.0,4719.0,6034.0,5537.0,5139.0,7111.0,6799.0,6536.0,5751.0,5795.0,5348.0,5710.0,6478.0,0.0,6492.0,7243.0,6846.0,6377.0,8168.0,5662.0,6229.0,5731.0,6646.0,9518.0,6664.0,4976.0,5250.0,8947.0,7384.0,7298.0,7684.0,6108.0,5959.0,8548.0,6146.0,6275.0,9916.0,6575.0,6141.0,8956.0,8395.0
